2025-12-20 19:09:39.070 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:39.111 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:39.142 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:39.163 | $GPGSV,0,1,00
2025-12-20 19:09:39.183 | $BDGSV,0,1,00
2025-12-20 19:09:39.204 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:39.224 | $GNZDA,,,,,,
2025-12-20 19:09:40.076 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:40.107 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:40.138 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:40.159 | $GPGSV,0,1,00
2025-12-20 19:09:40.180 | $BDGSV,0,1,00
2025-12-20 19:09:40.201 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:40.221 | $GNZDA,,,,,,
2025-12-20 19:09:41.073 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:41.104 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:41.145 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:41.156 | $GPGSV,0,1,00
2025-12-20 19:09:41.176 | $BDGSV,0,1,00
2025-12-20 19:09:41.207 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:41.218 | $GNZDA,,,,,,
2025-12-20 19:09:42.074 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:42.105 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:42.145 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:42.156 | $GPGSV,0,1,00
2025-12-20 19:09:42.176 | $BDGSV,0,1,00
2025-12-20 19:09:42.207 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:42.228 | $GNZDA,,,,,,
2025-12-20 19:09:43.070 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:43.111 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:43.142 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:43.163 | $GPGSV,0,1,00
2025-12-20 19:09:43.183 | $BDGSV,0,1,00
2025-12-20 19:09:43.205 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:43.225 | $GNZDA,,,,,,
2025-12-20 19:09:44.078 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:44.109 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:44.140 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:44.161 | $GPGSV,0,1,00
2025-12-20 19:09:44.181 | $BDGSV,0,1,00
2025-12-20 19:09:44.202 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:44.222 | $GNZDA,,,,,,
2025-12-20 19:09:45.068 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:45.109 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:45.140 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:45.161 | $GPGSV,0,1,00
2025-12-20 19:09:45.182 | $BDGSV,0,1,00
2025-12-20 19:09:45.202 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:45.223 | $GNZDA,,,,,,
2025-12-20 19:09:46.075 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:46.106 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:46.137 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:46.157 | $GPGSV,0,1,00
2025-12-20 19:09:46.178 | $BDGSV,0,1,00
2025-12-20 19:09:46.209 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:46.219 | $GNZDA,,,,,,
2025-12-20 19:09:47.076 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:47.106 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:47.137 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:47.157 | $GPGSV,0,1,00
2025-12-20 19:09:47.178 | $BDGSV,0,1,00
2025-12-20 19:09:47.209 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:47.219 | $GNZDA,,,,,,
2025-12-20 19:09:48.071 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:48.112 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:48.142 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:48.163 | $GPGSV,0,1,00
2025-12-20 19:09:48.173 | $BDGSV,0,1,00
2025-12-20 19:09:48.204 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:48.225 | $GNZDA,,,,,,
2025-12-20 19:09:49.077 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:49.108 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:49.138 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:49.159 | $GPGSV,0,1,00
2025-12-20 19:09:49.179 | $BDGSV,0,1,00
